epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,33.3704,2.58444,2.53001,2.23809,0,0,0,0,3.67406,4.57759,3.02129,0.000731904,0.000731904,0.000731904
50,33.8644,3.07255,2.50777,2.61872,0,0,0,0,3.60367,4.59767,2.97506,0.000742301,0.000742301,0.000742301
51,34.4301,2.61515,2.20502,2.58584,0,0,0,0,3.60367,4.59767,2.97506,0.0007525,0.0007525,0.0007525
52,35.1433,2.42924,2.10384,2.15059,0,0,0,0,3.50949,4.5745,2.9643,0.000762501,0.000762501,0.000762501
53,35.6835,2.30455,2.11282,2.27469,0,0,0,0,3.50949,4.5745,2.9643,0.000772304,0.000772304,0.000772304
54,36.3284,2.4025,2.24561,2.3229,0,0,0,0,3.48957,4.50085,2.99861,0.000781909,0.000781909,0.000781909
55,37.144,2.4588,2.33196,2.33948,0,0,0,0,3.48957,4.50085,2.99861,0.000791316,0.000791316,0.000791316
56,37.9059,2.38634,2.27008,2.28453,0,0,0,0,3.4303,4.37646,3.01013,0.000800525,0.000800525,0.000800525
57,38.7436,2.8026,2.24493,2.51925,0,0,0,0,3.4303,4.37646,3.01013,0.000809536,0.000809536,0.000809536
58,39.4919,2.30807,1.90656,2.33457,0,0,0,0,3.36754,4.24778,3.00467,0.000818349,0.000818349,0.000818349
59,40.0348,2.2138,2.11528,2.12615,0,0,0,0,3.36754,4.24778,3.00467,0.000826964,0.000826964,0.000826964
60,40.5824,2.54519,1.94511,2.35432,0,0,0,0,3.38327,4.14692,2.99463,0.000835381,0.000835381,0.000835381
61,41.1196,2.08735,2.04517,1.99555,0,0,0,0,3.38327,4.14692,2.99463,0.0008436,0.0008436,0.0008436
62,41.6387,2.08984,1.80118,2.0892,0,0,0,0,3.23686,4.12609,2.89404,0.000851621,0.000851621,0.000851621
63,42.1396,2.42105,2.05736,2.21236,0,0,0,0,3.23686,4.12609,2.89404,0.000859444,0.000859444,0.000859444
64,42.7264,2.29798,1.98171,2.16285,0,0,0,0,3.00108,4.01212,2.80618,0.000867069,0.000867069,0.000867069
