epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,651.035,0.67513,0.39812,0.83439,0.989,0.96234,0.9883,0.80786,0.58052,0.39411,0.80743,0.000996313,0.000996313,0.000996313
43,666.016,0.65507,0.39217,0.8297,0.98723,0.96014,0.98381,0.79938,0.61282,0.39685,0.80595,0.000990125,0.000990125,0.000990125
44,681.27,0.68538,0.40324,0.82973,0.98376,0.97431,0.98408,0.8052,0.58511,0.37591,0.8046,0.000983938,0.000983938,0.000983938
45,696.699,0.66096,0.3912,0.83115,0.97905,0.97511,0.9881,0.80697,0.60054,0.36436,0.80325,0.00097775,0.00097775,0.00097775
46,712.776,0.66657,0.39472,0.83185,0.97946,0.97025,0.98802,0.80086,0.58798,0.37764,0.80888,0.000971562,0.000971562,0.000971562
47,728.147,0.6639,0.39419,0.82693,0.99161,0.96422,0.98861,0.79951,0.60593,0.37569,0.8088,0.000965375,0.000965375,0.000965375
48,743.821,0.67255,0.39271,0.82741,0.98858,0.96036,0.98809,0.80924,0.54657,0.35406,0.79929,0.000959187,0.000959187,0.000959187
49,758.724,0.66497,0.38989,0.83048,0.98372,0.97587,0.98923,0.81403,0.5483,0.35187,0.79794,0.000953,0.000953,0.000953
50,773.708,0.64268,0.38399,0.82479,0.9757,0.97982,0.98399,0.81269,0.57936,0.35745,0.80641,0.000946812,0.000946812,0.000946812
51,789.043,0.66097,0.39406,0.82783,0.98619,0.97239,0.98618,0.81894,0.53939,0.34327,0.79701,0.000940625,0.000940625,0.000940625
52,803.493,0.66018,0.38326,0.82687,0.98634,0.9789,0.98882,0.80365,0.65411,0.35789,0.80616,0.000934438,0.000934438,0.000934438
53,820.464,0.65711,0.38426,0.82559,0.9855,0.97614,0.98847,0.81465,0.53369,0.35479,0.79659,0.00092825,0.00092825,0.00092825
54,836.076,0.65427,0.38014,0.82436,0.99104,0.97525,0.98906,0.81809,0.54997,0.34182,0.79941,0.000922063,0.000922063,0.000922063
55,851.063,0.6424,0.37374,0.82325,0.98751,0.97048,0.98554,0.818,0.53905,0.34574,0.79577,0.000915875,0.000915875,0.000915875
56,866.377,0.63141,0.37516,0.82585,0.99012,0.97721,0.98448,0.82506,0.53881,0.34459,0.80157,0.000909688,0.000909688,0.000909688
57,882.018,0.62458,0.36777,0.82373,0.99064,0.97153,0.98837,0.81943,0.5752,0.3546,0.79838,0.0009035,0.0009035,0.0009035
58,897.168,0.6495,0.37265,0.82181,0.99148,0.96624,0.98367,0.8132,0.54879,0.32944,0.79777,0.000897313,0.000897313,0.000897313
59,912.13,0.63477,0.36524,0.82298,0.99453,0.96174,0.98887,0.81785,0.54201,0.35245,0.79814,0.000891125,0.000891125,0.000891125
60,928.408,0.63646,0.37512,0.82124,0.99324,0.97575,0.98851,0.828,0.53783,0.33932,0.79435,0.000884938,0.000884938,0.000884938
61,943.403,0.641,0.37084,0.81951,0.99272,0.97608,0.98826,0.82472,0.5492,0.35671,0.79506,0.00087875,0.00087875,0.00087875
62,959.118,0.60522,0.35748,0.8184,0.99673,0.97319,0.98337,0.81673,0.55826,0.34163,0.79731,0.000872563,0.000872563,0.000872563
63,974.458,0.6223,0.36644,0.81661,0.98913,0.98296,0.98913,0.82774,0.54287,0.34493,0.79837,0.000866375,0.000866375,0.000866375
64,989.553,0.62474,0.36152,0.81911,0.99542,0.97072,0.98918,0.8292,0.5189,0.34399,0.7948,0.000860188,0.000860188,0.000860188
65,1005.2,0.61598,0.36423,0.81914,0.99117,0.97197,0.9888,0.8301,0.50904,0.33931,0.79229,0.000854,0.000854,0.000854
66,1020.13,0.60509,0.35753,0.81898,0.98319,0.97653,0.98837,0.82703,0.51701,0.34054,0.79348,0.000847813,0.000847813,0.000847813
67,1035.57,0.5967,0.35349,0.81817,0.9985,0.9734,0.98907,0.83473,0.49762,0.31986,0.79223,0.000841625,0.000841625,0.000841625
68,1051.03,0.62228,0.3625,0.81591,0.99032,0.97146,0.98907,0.82388,0.54114,0.35017,0.80399,0.000835438,0.000835438,0.000835438
69,1065.58,0.60289,0.35329,0.8142,0.98659,0.97721,0.98901,0.82467,0.52029,0.32914,0.79607,0.00082925,0.00082925,0.00082925
70,1080.74,0.60712,0.35582,0.81451,0.98229,0.9812,0.98919,0.83523,0.53503,0.34187,0.79654,0.000823063,0.000823063,0.000823063
71,1095.3,0.59202,0.35207,0.81747,0.98688,0.97804,0.9882,0.83953,0.49479,0.33424,0.79434,0.000816875,0.000816875,0.000816875
72,1109.75,0.6109,0.35438,0.81372,0.9865,0.98167,0.98938,0.84431,0.52135,0.33526,0.79551,0.000810688,0.000810688,0.000810688
73,1124.69,0.60072,0.34772,0.81843,0.99313,0.97673,0.9893,0.83412,0.52713,0.32415,0.79855,0.0008045,0.0008045,0.0008045
74,1139.43,0.59454,0.34855,0.81881,0.98961,0.97714,0.98929,0.83687,0.47198,0.31095,0.78859,0.000798313,0.000798313,0.000798313
75,1155.24,0.59607,0.34858,0.81918,0.98607,0.97932,0.98948,0.84116,0.51404,0.32076,0.7969,0.000792125,0.000792125,0.000792125
76,1171.08,0.60658,0.3509,0.81661,0.98686,0.9866,0.98938,0.83796,0.4945,0.32045,0.79168,0.000785938,0.000785938,0.000785938
77,1186.36,0.58909,0.34477,0.81718,0.98861,0.97985,0.98904,0.83851,0.49462,0.31776,0.79545,0.00077975,0.00077975,0.00077975
78,1201.81,0.57618,0.33948,0.80823,0.98526,0.98098,0.98921,0.84413,0.46542,0.31086,0.78768,0.000773563,0.000773563,0.000773563
79,1216.62,0.58334,0.33901,0.81627,0.99313,0.96775,0.98892,0.84318,0.48097,0.30866,0.79438,0.000767375,0.000767375,0.000767375
80,1232.1,0.5838,0.34106,0.81321,0.9867,0.98231,0.98905,0.83742,0.5226,0.32621,0.79153,0.000761188,0.000761188,0.000761188
