epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,681.336,0.80667,0.48016,0.88238,0.98261,0.94672,0.96979,0.7418,0.75165,0.45688,0.85061,0.000990125,0.000990125,0.000990125
44,696.954,0.80194,0.48155,0.87588,0.99152,0.95758,0.98306,0.7718,0.68338,0.42169,0.83704,0.000983938,0.000983938,0.000983938
45,712.773,0.78359,0.47268,0.87869,0.97499,0.96414,0.98312,0.7695,0.70495,0.44972,0.84064,0.00097775,0.00097775,0.00097775
46,729.177,0.81839,0.48083,0.88504,0.9928,0.96204,0.98383,0.75752,0.69896,0.43456,0.84262,0.000971562,0.000971562,0.000971562
47,745.037,0.79988,0.47505,0.87576,0.99451,0.95699,0.98595,0.76283,0.79705,0.43922,0.87146,0.000965375,0.000965375,0.000965375
48,760.628,0.8171,0.47825,0.87778,0.99391,0.9566,0.98513,0.77385,0.67387,0.42804,0.84451,0.000959187,0.000959187,0.000959187
49,776.483,0.78615,0.46186,0.8751,0.99533,0.9583,0.98662,0.77318,0.69913,0.43354,0.84346,0.000953,0.000953,0.000953
50,791.89,0.76847,0.45386,0.8666,0.99245,0.96094,0.98799,0.77012,0.71717,0.4136,0.84532,0.000946812,0.000946812,0.000946812
51,806.724,0.80179,0.454,0.88125,0.99151,0.96412,0.98311,0.78341,0.71132,0.4272,0.84085,0.000940625,0.000940625,0.000940625
52,822.104,0.77839,0.4519,0.8657,0.99005,0.96351,0.98365,0.77313,0.68664,0.44048,0.83798,0.000934438,0.000934438,0.000934438
53,837.597,0.78415,0.45658,0.87301,0.98816,0.96832,0.984,0.77032,0.6736,0.41534,0.83744,0.00092825,0.00092825,0.00092825
54,853.509,0.78686,0.45574,0.87319,0.99095,0.95763,0.98305,0.77883,0.67243,0.42289,0.83838,0.000922063,0.000922063,0.000922063
55,869.252,0.75922,0.43984,0.86708,0.98468,0.95905,0.98065,0.76893,0.70414,0.42715,0.84508,0.000915875,0.000915875,0.000915875
56,884.952,0.75456,0.45392,0.86944,0.98428,0.95692,0.98026,0.77123,0.64974,0.4174,0.8332,0.000909688,0.000909688,0.000909688
57,900.089,0.75706,0.44468,0.86521,0.9805,0.96528,0.98243,0.78798,0.64012,0.41079,0.82905,0.0009035,0.0009035,0.0009035
58,915.365,0.7614,0.44324,0.86106,0.9882,0.95517,0.97798,0.76816,0.67425,0.4196,0.83055,0.000897313,0.000897313,0.000897313
59,931.962,0.7495,0.44551,0.86812,0.98629,0.97319,0.98363,0.78469,0.6093,0.40375,0.82277,0.000891125,0.000891125,0.000891125
60,948.454,0.73468,0.43579,0.85959,0.98706,0.96864,0.98357,0.78474,0.67821,0.40999,0.83145,0.000884938,0.000884938,0.000884938
61,963.91,0.76851,0.44401,0.86616,0.98748,0.97211,0.98438,0.78122,0.65216,0.39351,0.83234,0.00087875,0.00087875,0.00087875
62,978.667,0.72934,0.42672,0.86116,0.98796,0.97263,0.98635,0.78614,0.63223,0.40952,0.82701,0.000872563,0.000872563,0.000872563
63,994.605,0.75838,0.43959,0.85872,0.99554,0.96772,0.98416,0.78531,0.64629,0.39603,0.83006,0.000866375,0.000866375,0.000866375
64,1010.35,0.74405,0.4342,0.86493,0.99135,0.96757,0.98365,0.78219,0.6193,0.39385,0.82608,0.000860188,0.000860188,0.000860188
65,1026.17,0.73176,0.43205,0.86166,0.98437,0.96513,0.98231,0.79096,0.60085,0.39197,0.81831,0.000854,0.000854,0.000854
