epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26.7305,0.92941,1.23387,0.9514,0.0025,0.75,0.00402,0.00253,1.38319,3.76851,1.44216,0.000653581,0.000653581,0.000653581
43,27.2752,0.89824,1.35364,1.06443,0.0025,0.75,0.00317,0.00207,1.42379,3.75121,1.41139,0.000665364,0.000665364,0.000665364
44,27.8536,0.85985,1.23902,0.9508,0.0025,0.75,0.00581,0.00313,1.35605,3.71934,1.3596,0.000676949,0.000676949,0.000676949
45,28.4664,1.04595,1.33736,1.08512,0.0025,0.75,0.00654,0.00388,1.30559,3.65131,1.35691,0.000688336,0.000688336,0.000688336
46,29.2125,0.86088,1.15283,0.96374,0.00333,1,0.00945,0.00531,1.24126,3.60821,1.42395,0.000699525,0.000699525,0.000699525
47,30.0048,0.97437,1.44756,0.99041,0.00333,1,0.02759,0.01648,1.34214,3.60633,1.55765,0.000710516,0.000710516,0.000710516
48,30.8357,0.84879,1.30623,0.91264,0.00333,1,0.13173,0.11543,1.43343,3.52625,1.58015,0.000721309,0.000721309,0.000721309
49,31.7078,0.84378,1.24615,0.96224,0.00333,1,0.26004,0.20414,1.48031,3.52695,1.58999,0.000731904,0.000731904,0.000731904
50,32.2395,0.98179,1.3302,1.06428,0.00333,1,0.25996,0.17914,1.40805,3.47302,1.44428,0.000742301,0.000742301,0.000742301
51,32.8085,0.77053,1.22577,1.02273,0.00333,1,0.25996,0.17914,1.40805,3.47302,1.44428,0.0007525,0.0007525,0.0007525
52,33.497,0.86604,1.13918,0.97098,0.00333,1,0.27049,0.16175,1.45839,3.43068,1.55895,0.000762501,0.000762501,0.000762501
53,33.9867,0.78311,1.26825,0.97224,0.00333,1,0.27049,0.16175,1.45839,3.43068,1.55895,0.000772304,0.000772304,0.000772304
54,34.6021,0.88645,1.21162,1.04156,0.00333,1,0.41776,0.2748,1.52389,3.37546,1.44019,0.000781909,0.000781909,0.000781909
55,35.0877,0.93522,1.3898,1.04513,0.00333,1,0.41776,0.2748,1.52389,3.37546,1.44019,0.000791316,0.000791316,0.000791316
56,35.6431,1.0127,1.67783,1.00032,0.00333,1,0.335,0.22456,1.48283,3.42008,1.43283,0.000800525,0.000800525,0.000800525
57,36.1453,0.98305,1.14812,0.93566,0.00333,1,0.335,0.22456,1.48283,3.42008,1.43283,0.000809536,0.000809536,0.000809536
58,36.7023,0.74779,1.04792,0.92801,0.00333,1,0.22716,0.13559,1.61479,3.36684,1.37841,0.000818349,0.000818349,0.000818349
59,37.2085,0.68293,1.18565,0.89679,0.00333,1,0.22716,0.13559,1.61479,3.36684,1.37841,0.000826964,0.000826964,0.000826964
60,37.7669,0.98215,1.15586,0.95411,0.29618,0.5,0.37426,0.19304,1.71156,3.35562,1.48001,0.000835381,0.000835381,0.000835381
61,38.3097,0.80114,0.99429,0.98685,0.29618,0.5,0.37426,0.19304,1.71156,3.35562,1.48001,0.0008436,0.0008436,0.0008436
62,38.8363,0.77307,1.08002,0.98358,0.82066,0.5,0.49902,0.22436,1.79235,3.26125,1.41807,0.000851621,0.000851621,0.000851621
63,39.3122,0.82249,1.04359,0.96899,0.82066,0.5,0.49902,0.22436,1.79235,3.26125,1.41807,0.000859444,0.000859444,0.000859444
64,39.8578,0.7086,1.01997,0.91742,0.85651,0.5,0.49872,0.23629,1.70396,3.21121,1.31566,0.000867069,0.000867069,0.000867069
65,40.3805,0.82553,1.38191,1.03867,0.85651,0.5,0.49872,0.23629,1.70396,3.21121,1.31566,0.000874496,0.000874496,0.000874496
66,40.9405,0.71633,0.89973,0.9141,0.87921,0.5,0.49864,0.29791,1.50138,3.05298,1.31715,0.000881725,0.000881725,0.000881725
67,41.4275,0.74568,1.01125,0.94964,0.87921,0.5,0.49864,0.29791,1.50138,3.05298,1.31715,0.000888756,0.000888756,0.000888756
68,42.7554,0.74661,1.15055,0.95737,0.89285,0.5,0.53639,0.2809,1.47447,2.94215,1.40029,0.000895589,0.000895589,0.000895589
